task,occupation,company_count,company
"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",Market Research Analysts and Marketing Specialists,176,"Subsets; Upsolve AI; Explo; Cherry Recommends; Orbiter; Parsewise; 1stCollab; Laudable; Zeit AI; Quivr; Turing College; HyperGlue; crmCopilot; GrepData; Leeroo; Melder; Trellis; Moonglow; Riveter AI; Origami; CambioML; Paradigm; Outset; Swayable; Ardis AI; Semantics3; Upwave; kater.ai; CustomerOS; Apten; Buster; Apollo.io; Trendpop; Dot; Trackingplan; Operand; Meticulate; Conveo; Vector; Vaero; SciPhi; Dataherald; Jestor; Promi; Flyflow; Mutiny; Netomi; MarketBrief; Buzzle; Tydo; Aura Vision; Thorntale; Anasen; flexEngage; Iambiq Technologies; Thematic; Topo; Slidely AI; Dexterity; Taylor AI; PromptLoop; Aftercare; Peppr AI; Cardinal; Hindsight; Andi; Freshplum; Tile; Overstand Labs; et al.; Prayas Analytics; Just Words; Veryfi, Inc.; Compose.ai; FuseAI; Aidy; Superagent; Neptyne; FirstIgnite; Marketfox; Syncly; Dataleap; Type; Optilly/Installmonetizer; PandasAI; Brewit; Taskade; Askdata; Marblism; Aqua Voice; Candid; Govly; Popsy; Phind; Monterey AI; Tasker AI; Melty; People.ai; MindsDB; Lumina; Plai; ngrow.ai; camelAI; ClearBrain; CoLoop; Enable Us; Taktile; Revamp; JuziBot; IvyCheck; Resonance; Query Vary; Hightouch; Raycaster; Vizly; Canopy Labs; Redbird; LeadGenius; Magic Loops; NeoWize; Artificial Societies; Cedar; Findly; Inari; Shape; VOIQ; Turing Labs Inc.; SalesSift; Versive; OpenFunnel; Cotera; Instant Labs; Stack AI; Yhat; Watto AI; eBrandvalue; Lumona; PearAI; Lancey; Helium; Artemis Search; Voiceops; ScopeAI; The Forecasting Company; Chima; MinusX; Reworkd; SPATE; Framed Data; Rocketable; Varos; Criya; Milky Way AI; Datrics; HockeyStack; Basedash; IOMETE; Basepilot; Julius; Manaflow; Lopus AI; AthenaHQ; Letterdrop; expand.ai; Hello Chair; Defog.ai; Parsagon; Carousel Technologies; Optimizely; CreatorML; Rollstack; Browser Use; Menza; Bizzy; Inkling; Octolane AI"
"Prepare reports of selection, survey, or other statistics and recommendations for corrective action.",Equal Opportunity Representatives and Officers,47,Extend; AutoComputer; Archbee; Parsewise; Taskade; Skyvern; MarketBrief; Askdata; Velos; Automat; Corgi; Workflow86; HUD; Openlayer; Stack AI; Heron Data; Watto AI; Vizy; Dialect; Elyos; Friday; Layerup; Tasker AI; Motion; CambioML; Glimmer; Clara Labs; Axiom.ai; Credal.ai; Deel; Fathom; Peppr AI; VectorShift; Dev Tools AI; Tetra; Basepilot; Manaflow; Autotab; Dot; Willow; Redbird; Omni; Vaero; FirstIgnite; Verihubs; Sei; Epsilla
"Prepare reports on biomass plant operations, status, maintenance, and other information.",Biomass Power Plant Managers,53,Outerport; PandasAI; GreenTally; Findly; AiSupervision; Shape; Parsewise; Orbiter; LineWise; Askdata; Ultra; HUD; IoTFlows Inc; Praxis AI; Precip; Vizy; Vespper; Elyos; Layerup; Axross Pte Ltd; The Forecasting Company; Lynx; Glimmer; Paradigm; Iambiq Technologies; Clara Labs; Tiny; TRACTIAN; inBalance; camelAI; Offstream; Raven; K-Scale Labs; Tenderd; AlphaWatch AI; Peppr AI; Taktile; kater.ai; Basedash; Zeitview; Doctor Droid; Dime; Tergle; Unravel Carbon; Asteroid; Dot; Carbic; Wild Moose; FirstIgnite; PowerX; Inkling; Palifer; Gecko Robotics
Prepare reports on logistics performance measures.,Logistics Analysts,167,"Langdock; Mito; Le Tote; Orbiter; Parsewise; Zeit AI; Quivr; Skyvern; Hypermile; Mentum; Rider; Leeroo; Aden; Moonglow; Trueplace; DoorDash; Metreecs; Layerup; Motion; Hatch; CambioML; Paradigm; Tiny; Credal.ai; Toma; Iris Automation; Tenderd; Semantics3; Nowports; May Mobility; kater.ai; Warpfy; Buster; Dexter; Unravel Carbon; Dot; WareIQ; Mandel AI; Mercator; Blink; Recurrency; Struct; Spinach AI; Jestor; Dataherald; trebu; Epsilla; Lume; AutoComputer; Sola; Kisan Network; Vooma; Ridecell; Workflow86; LogisticsOS; autone; Narrative; Anasen; Iambiq Technologies; Clara Labs; Dexterity; Atmo; numericcal, inc.; Shelf Engine; Flux Auto; Peppr AI; Powerhouse AI; Airweave; Tile; Asteroid; SprintAI; Willow; Superagent; Neptyne; FirstIgnite; OneStopKitchen; Embark Trucks; Kobo360; CommodityAI; Pyka; PandasAI; CopyCat; Brewit; Taskade; General Agency; BeGo; Askdata; Velos; Astrix Health; Mars Auto; Robby Technologies; MailTime; Relativity Space; Cartage; Elyos; Tasker AI; ShipBlu; TrackChain; MindsDB; Lumina; Corvus Robotics; Axiom.ai; Estimote, Inc.; Retape; camelAI; Agentin AI; DigiBuild; Taktile; Dev Tools AI; IvyCheck; Azalea Robotics Corporation; Autotab; RoboTire; Vizly; Farmstead; Zimi; Redbird; Observant AI; Spherecast; Magic Loops; Auro Robotics; Palifer; Intelligent; SkydropX; Swades AI; Findly; Inlet; Shape; Panora; Yondu; FleetWorks; Vendora; Silurian; HUD; HappyRobot; Guac; Stack AI; Airmada; Gumloop; Precip; PearAI; The Forecasting Company; AutoPallet Robotics; MinusX; Linc.; Oway; Fountain9; Basedash; Datrics; GrubMarket; Basepilot; Turntable; Manaflow; Faction; expand.ai; Merlin AI; Defog.ai; Starsky Robotics; Carousel Technologies; Shipamax; Pathmind; Flirtey (SkyDrop); Focal Systems; Javelin Robotics; Menza; Inkling; Luminai"
Prepare reports on non-destructive testing results.,Non-Destructive Testing Specialists,54,"Pyka; Shape; Parsewise; LineWise; InspectMind AI; HUD; Mars Auto; Coulomb AI; Relativity Space; IoTFlows Inc; Phind; Praxis AI; Vizy; Exosonic, Inc.; Forerunner AI; Bilanc; Bucket Robotics; Elyos; Rescale; Ember Robotics; Elessar; Iambiq Technologies; edgetrace; Andromeda Surgical; Paradigm; CambioML; Overview; Clara Labs; Tiny; TRACTIAN; Gridware; Iris Automation; numericcal, inc.; Raven; Tenderd; K-Scale Labs; Zeitview; Dime; Clueso; Patchwork; Radical; Open Motors; Almond; Starsky Robotics; Flirtey (SkyDrop); Carousel Technologies; Omni; Carbic; HyLight; Macadamia; Neptyne; Auro Robotics; Maive; Gecko Robotics"
"Prepare reports or presentations summarizing results or conclusions of human factors engineering or ergonomics activities, such as testing, investigation, or validation.",Human Factors Engineers and Ergonomists,66,"SAMMY Labs; Prolific; Pyka; Pivot Robotics; Playground; Cruise; Yondu; LineWise; Turing Labs Inc.; Lifecast; Roark; Sensei; Versive; Ultra; Tailor-ED; Dream3D; Cekura (formerly Vocera); Deepnight; Chordio; Nextera Robotics; Relativity Space; Monterey AI; Bilanc; Bucket Robotics; Elyos; Motion; Hamming AI; Elessar; edgetrace; Zeta Surgical; Freestyle; AutoPallet Robotics; Quadrant Eye; Nectome; Thematic; Clara Labs; Outset; Whirlscape; numericcal, inc.; K-Scale Labs; Yummy Future; Aftercare; Taktile; May Mobility; Meta; Command AI; Warpdrive by Synthetic Minds; Inevitable Tech; et al.; Passenger AI; Standard AI; Azalea Robotics Corporation; Patchwork; Faction; Raycaster; Protex AI; Open Motors; Presto; Conveo; Decipher AI; Happenstance; Paradome; Auro Robotics; Human Behavior; Lilac Labs; UNISON"
"Prepare reports or presentations to communicate brownfield redevelopment needs, status, or progress.",Brownfield Redevelopment Specialists and Site Managers,59,Outerport; Archbee; Findly; GreenTally; Mach9; Parsewise; Taskade; MarketBrief; InspectMind AI; Powerdocs; Workflow86; HUD; Stellar; Watto AI; Precip; Vizy; Dialect; Array Labs; Thorntale; Elyos; Friday; Motion; Tasker AI; CambioML; Glimmer; Paradigm; Clara Labs; Iris Automation; Offstream; Tenderd; Fathom; Dart; AlphaWatch AI; Peppr AI; VectorShift; SchemeFlow; Basedash; Tetra; et al.; Basepilot; Autotab; KorrAI; Cogram; Parsagon; Willow; Redbird; Omni; Provision; Superagent; Vaero; FirstIgnite; Rollstack; WeReno; Menza; Spinach AI; Karmen; Inkling; Epsilla; Gecko Robotics
Prepare reports or recommendations on transportation planning.,Transportation Planners,99,Waypoint Transit; Bayes Impact; Parsewise; Hypermile; Leeroo; CambioML; Paradigm; Pulse; Iris Automation; Ardis AI; Tenderd; Nowports; May Mobility; Pretzel AI; Buster; Superpowered AI; Cogram; Meter Feeder; Mercator; SciPhi; VergeSense; Epsilla; Cruise; Mach9; truemetrics; Vooma; Reprompt; Ridecell; LogisticsOS; Dream3D; Thorntale; Narrative; Clara Labs; Atmo; Offstream; Peppr AI; Andi; et al.; Sarus; Passenger AI; Superagent; Neptyne; Khoj; FirstIgnite; Onyx; Embark Trucks; Kobo360; Pyka; PandasAI; Brewit; Mintplex Labs; Taskade; BeGo; Askdata; Mars Auto; Tailor-ED; Robby Technologies; Cartage; Phind; Tasker AI; Roe AI; TrackChain; Plexe; camelAI; Dev Tools AI; Simplifine; Vizly; Omni; Redbird; Observant AI; Roundabout Technologies; Ontra Mobility; Auro Robotics; Gecko Robotics; Shape; FleetWorks; HUD; Airmada; Yhat; Precip; PearAI; The Forecasting Company; Anara; MinusX; Linc.; Oway; SchemeFlow; Basedash; IOMETE; Basepilot; Julius; Faction; expand.ai; Open Motors; Parsagon; Carousel Technologies; Smarking; Javelin Robotics; Menza
"Prepare reports or recommendations, based upon research outcomes.",Biochemists and Biophysicists,79,"Menten AI; Persist AI; Parsewise; Cofactor Genomics; Abalone Bio; Mindstate Design Labs; Diffuse Bio; CambioML; Paradigm; Akido Labs; Tamarind Bio; Yoneda Labs; Harmonic Discovery; Biodock; Metofico; Serinus Biosciences; Arpeggio Bio; Inevitable Tech; AminoAnalytica; Ångström AI; 64x Bio; Perlara; Epsilla; PipeBio; 1910 Genetics; Trident Bioscience; Verge Genomics; Birch Biosciences; ReactWise; Output Biosciences; HypaHub; Clara Labs; Scispot; Olio Labs; Junction Bioscience; Neptyne; Orbillion Bio; Zeon Systems; Lavo Life Sciences; Archil; Phind; Vizy; Piramidal; Medium Biosciences; G LNK; Sequence Bio; PostEra; GEn1E Lifesciences; Macromoltek; Atomwise; InstaGrok; Simplifine; Probably Genetic; Omni; CellChorus; Shape; Nanograb; Artos; Rejoy Health; HUD; RTHM; Nabla Bio; Reticular; Known Medicine; PicnicHealth; Argon AI, Inc.; Anthrogen; Anara; Exin Therapeutics; Evolvere BioSciences; Bindwell; Ligo Biosciences; iollo; Delineate; Carousel Technologies; Undermind; Lamin; Pando Bioscience; WhiteLab Genomics"
"Prepare reports outlining past and future programs, including content.",Broadcast Technicians,14,Pulpix; Clara Labs; Sieve; Meta; Moonglow; PearAI; Poly; Dev Tools AI; Overlap; Decohere; Uberduck; T3 Chat (prev. Ping.gg); edgetrace; Codec
Prepare reports regarding market conditions and merchandise costs.,Purchasing Managers,151,"Langdock; Extend; Parsewise; Skyvern; Mentum; Stellar; Rider; Sendme, Inc; Dialect; Aden; Metreecs; Layerup; Motion; CambioML; Paradigm; Adri AI; Tiny; Credal.ai; Handl; BotCity; HumanLayer; Charge Robotics; Alpas; Nowports; kater.ai; Warpfy; Dot; Alaan; Mandel AI; SciPhi; Blink; Recurrency; Spinach AI; Seals AI; haddock; Revise Robotics; Jestor; AutoComputer; Kisan Network; Speedy Labs; Workflow86; Sweetspot; autone; Callback; SalesPatriot; Anasen; Iambiq Technologies; GovEagle; Clara Labs; Glimmer; Anglera; EARTH AI; Odo; Shelf Engine; Aftercare; Peppr AI; Powerhouse AI; RADAR; Namecard.ai; Tile; Hedgehog; Veryfi, Inc.; Asteroid; SprintAI; Provision; Superagent; FirstIgnite; OneStopKitchen; Onyx; WeReno; Karmen; Klarity; Shift Health; PandasAI; CopyCat; Taskade; General Agency; BeGo; Askdata; Velos; Astrix Health; General Trajectory; Maitian.ai; Robby Technologies; Candid; Relativity Space; Cartage; Vizy; Bild AI; Elyos; Tasker AI; TrackChain; Lumina; DailyBot; camelAI; DigiBuild; Taktile; Material Depot; Versable; RoboTire; Farmstead; Omni; Redbird; Magic Loops; Auro Robotics; SkydropX; Outerport; Findly; Inlet; Shape; Panora; Yondu; Vendora; Powerdocs; HUD; Guac; Tuesday; Stack AI; Hazel; Exosonic, Inc.; Den; The Forecasting Company; RiskCube; AutoPallet Robotics; Brainbase; Reworkd; RMFG; NanoNets; Paperplane; Linc.; askLio; Concourse; Brex; Fountain9; Valora; AlphaWatch AI; Sculpt; Basedash; GrubMarket; Basepilot; Manaflow; Patika; Merlin AI; Defog.ai; Flirtey (SkyDrop); Mashgin; Shipamax; Harper; Focal Systems; ElectroNeek; Inkling"
Prepare reports related to investigations of equal opportunity complaints.,Equal Opportunity Representatives and Officers,47,Extend; AutoComputer; Archbee; Parsewise; Taskade; Skyvern; MarketBrief; Askdata; Velos; Automat; Corgi; Workflow86; HUD; Openlayer; Stack AI; Heron Data; Watto AI; Vizy; Dialect; Elyos; Friday; Layerup; Tasker AI; Motion; CambioML; Glimmer; Clara Labs; Axiom.ai; Credal.ai; Deel; Fathom; Peppr AI; VectorShift; Dev Tools AI; Tetra; Basepilot; Manaflow; Autotab; Dot; Willow; Redbird; Omni; Vaero; FirstIgnite; Verihubs; Sei; Epsilla
Prepare reports summarizing daily transactions and earnings for individual customer accounts.,Brokerage Clerks,61,Greenboard; Langdock; Extend; Sola; CommodityAI; Lifted; CopyCat; Shape; Parsewise; Zeit AI; General Agency; Askdata; Velos; Automat; Aqua Voice; TradeFlow; HUD; Workflow86; Stack AI; Fluently; FrontPage; MailTime; Gumloop; GoldenBasis; Repacket; Elyos; Mindee; Pyq AI; Tasker AI; Iambiq Technologies; Hatch; CambioML; Glimmer; Anasen; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Clara Labs; Rocketable; camelAI; Martin; Dev Tools AI; GoLinks; Tile; Basepilot; Manaflow; Jasmine Energy; Autotab; Defog.ai; Willow; Blue Onion; FirstIgnite; Centauri AI; SciPhi; Onyx; Stamp; Magic Loops; Luminai; Lume
Prepare reports summarizing information or trends related to manufacturing performance.,Manufacturing Engineers,105,"Diode Computers, Inc.; Pivot Robotics; Parsewise; Layerup; Motion; Elessar; CambioML; Paradigm; Tiny; Atomic Industries; Iris Automation; Charge Robotics; Poka Labs; Conductor Quantum; Inevitable Tech; Dime; Radical; Thrive Agritech; 64x Bio; DeepSim, Inc.; Cruise; Speedy Labs; Ultra; Nextera Robotics; Birch Biosciences; Praxis AI; Forerunner AI; Vespper; Bucket Robotics; BotBuilt; Zeta Surgical; Iambiq Technologies; Clara Labs; Overview; camfer; Orangewood Labs; numericcal, inc.; K-Scale Labs; Sift Dev; Peppr AI; et al.; Hedgehog; Exa Laboratories; Superagent; Orbillion Bio; Macadamia; Neptyne; FirstIgnite; Bear Flag Robotics; Pyka; PandasAI; AiSupervision; Brewit; Optifye.ai; General Trajectory; Mars Auto; Tailor-ED; Relativity Space; IoTFlows Inc; Vizy; Artifact; Miru; Elyos; Tasker AI; Estimote, Inc.; Dev Tools AI; Warpdrive by Synthetic Minds; Vizly; Redbird; Magic Loops; Auro Robotics; Palifer; Maive; Gecko Robotics; Rain Neuromorphics; Shape; Yondu; LineWise; Turing Labs Inc.; HUD; Draftaid; Innate; Watto AI; Gumloop; Exosonic, Inc.; Bilanc; Ember Robotics; Axross Pte Ltd; The Forecasting Company; Anthrogen; AutoPallet Robotics; RMFG; TRACTIAN; Raven; Sculpt; Bindwell; Industrial Next; Patchwork; Ligo Biosciences; Cerrion; Open Motors; Almond; Starsky Robotics; Carousel Technologies; PowerX"
Prepare reports that include the degree of risk involved in extending credit or lending money.,Credit Analysts,124,Salient; Extend; Orbiter; Parsewise; Docsum; Zeit AI; Tesorio; Rabbet; Spine AI; Melder; Trellis; Moonglow; Trueplace; Hudson Labs (formerly Bedrock AI); CambioML; Paradigm; Finnt; Pulse; Credal.ai; BotCity; Trébol; Handl; Spade; kater.ai; Domu Technology Inc.; Buster; Dot; Centauri AI; SciPhi; Inscribe; Dataherald; Epsilla; Overwatch; Xobni; Eloquent AI; Reducto; Redouble AI; MarketBrief; Kastle; amiloz; dili; Truora; Bankjoy; Callback; VantedgeAI; Anasen; Iambiq Technologies; Slidely AI; Glimmer; Clara Labs; Plutto; Greenlite; Tejas AI; Peppr AI; finbar; Tile; Casca; Decisional AI; TigerEye; Asteroid; Willow; Zen99; Superagent; Neptyne; FirstIgnite; Onyx; Klarity; Fintelite; Clarum; Feather; PandasAI; Brewit; General Agency; Askdata; Velos; Leena AI; CreatorOS; Prodigal; Patterns; Shiboleth; Tasker AI; Retape; Finosu; camelAI; Dojah Inc; Orbio Earth; Autotab; Vizly; Redbird; Blue Onion; Accend; Elevate; Outerport; Mesh; Findly; Shape; Tranqui Finanzas; HUD; Flair Labs; Stack AI; Heron Data; The Forecasting Company; AviaryAI; NanoNets; Paperplane; Concourse; Brex; Respaid; Valora; AlphaWatch AI; Basedash; Datrics; Basepilot; Baubap; Defog.ai; Parsagon; Carousel Technologies; Fintool; Rollstack; Menza; Two Dots; ElectroNeek; Inkling; Luminai
Prepare reports to be submitted to company's data processing department.,"Claims Adjusters, Examiners, and Investigators",78,Extend; Parsewise; Skyvern; Automat; Dialect; Wattson Health; Friday; Layerup; Motion; CambioML; Credal.ai; Handl; Curacel; Slingshot; Vaero; SciPhi; Epsilla; AutoComputer; Rada; Redouble AI; MarketBrief; Medicare Vox (fka Fair Square); Workflow86; Kyber; ClaimSorted; Clearest Health; WeatherCheck; Iambiq Technologies; Clara Labs; VoxOps AI; Fathom; Peppr AI; Talc; Asteroid; Willow; CombineHealth; FirstIgnite; Verihubs; Askdata; Velos; FurtherAI; Vizy; Soteris; Elyos; Tasker AI; edgetrace; Upfort; Axiom.ai; Symphony; RiskAngle; VectorShift; Taktile; Dev Tools AI; Tetra; Axle; Autotab; Omni; Lucite; Pibit.ai; Shape; Corgi; Silurian; Fragment; HUD; Stream; Stack AI; Heron Data; Array Labs; Pyq AI; AviaryAI; NanoNets; Basedash; Basepilot; Tergle; Carousel Technologies; ElectroNeek; Fairway Health; Luminai
"Prepare reports, deliver presentations, or participate in program review activities to communicate engineering results or recommendations.",Nanosystems Engineers,69,"Rain Neuromorphics; DeepSim, Inc.; Outerport; Type; Extend; Archbee; Diode Computers, Inc.; Parsewise; Reducto; Askdata; Promptless; Tailor-ED; Fluently; Yhat; Leeroo; Watto AI; Phind; Vizy; Moonglow; Dialect; Forerunner AI; Bilanc; Maya Labs; Starcloud; Rescale; Layerup; Betterhalf; Elessar; Tasker AI; CambioML; Hatch; Anara; camfer; Clara Labs; Pulse; Lune; Silogy; Ardis AI; Reduced Energy Microsystems; Andi; Dev Tools AI; Conductor Quantum; Chonkie; et al.; Partcl; Klavis AI; Patchwork; SnapMagic; UNISON; Asteroid; Raycaster; Simplifine; Hiration; Carousel Technologies; Cuckoo Labs; Redbird; Omni; Superagent; Paperspace; Khoj; Vaero; Lamin; SciPhi; Alai; Stamp; Zeon Systems; TamLabs; Epsilla; Osium AI"
"Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.",Financial Examiners,82,Greenboard; TRM Labs; Extend; Parsewise; Docsum; Melder; Trellis; Moonglow; Trueplace; CambioML; Pulse; Credal.ai; BotCity; Dot; Centauri AI; SciPhi; Diligent; Dataherald; Epsilla; Overwatch; CTGT; Xobni; Eloquent AI; Reducto; Redouble AI; MarketBrief; Kyber; dili; Truora; Iambiq Technologies; Slidely AI; Glimmer; Greenlite; Sphinx; Peppr AI; Kobalt Labs; TigerEye; Asteroid; Hadrius; Willow; Zen99; Superagent; Regology; CombineHealth; Rulebase; Onyx; Alterya; Brewit; General Agency; Agentive; Leena AI; Shiboleth; Tasker AI; camelAI; Cardamon; Dojah Inc; Axle; Redbird; Blue Onion; Flagright; Elevate; Outerport; Shape; HUD; Stack AI; Delve; Heron Data; Remo; The Forecasting Company; Concourse; AlphaWatch AI; Basedash; Datrics; Basepilot; Arva AI; Defog.ai; Parsagon; Carousel Technologies; ElectroNeek; Inkling; Finic; Luminai
"Prepare reports, such as organization and flow charts and career path reports, to summarize job analysis and evaluation and compensation analysis information.","Compensation, Benefits, and Job Analysis Specialists",25,AutoComputer; eqtble; DianaHR; Interviewed; inFeedo AI; Leena AI; HUD; Stack AI; MailTime; Clearest Health; Trueplace; Pasito; Nimble; Iambiq Technologies; Nestor; Dexterity; Credal.ai; Deel; Pyxai; Worklytics; FirstWork; Bolto; Willow; Prophecy Sciences; Humand
Prepare responses to correspondence containing routine inquiries.,Executive Secretaries and Executive Administrative Assistants,130,"Langdock; Extend; Archbee; Forage Mail; LinkGrep; Parsewise; Poly; Skyvern; Abbot; Automat; Lovage; Melder; Dialect; Pumpkin; Wattson Health; Friday; Motion; Hatch; CambioML; Paradigm; Floworks; Credal.ai; Handl; Giga ML; Slite; Nowadays; GoLinks; Focus Buddy; Alaan; Lysto; Vaero; SciPhi; Stamp; Struct; Spinach AI; Jestor; TamLabs; AutoComputer; Sola; Cohere; Xobni; Workflow86; Sennu AI; AXDRAFT; Circleback; Dropbox; Fluently; Callback; Pinch; DryMerge; Repacket; Thorntale; SalesPatriot; Pernell; Anasen; Iambiq Technologies; Slidely AI; Clara Labs; Dexterity; Typewise; Fathom; Tile; BoldVoice; Spoil; Veryfi, Inc.; Compose.ai; Willow; Superagent; Cobbery; Khoj; Onyx; Type; Shift Health; Mosaix.ai; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Marblism; Aqua Voice; Leena AI; MailTime; Vizy; Niles; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Retape; DailyBot; Martin; Zuni; VectorShift; Tetra; Dev Tools AI; Cue; TypeLess; Open; Autotab; Proxis; Query Vary; Omni; Marr Labs; Parabolic; Opencall.ai; Magic Loops; Sei; Powerdocs; Akiflow; Echo Locker; Stack AI; Heron Data; Watto AI; CozmoX AI; Sapling.ai; PearAI; Pasito; Den; Onward; NanoNets; Basepilot; Moots AI; Parsagon; Carousel Technologies; Humand; Rollstack; ElectroNeek; Luminai"
Prepare sales presentations or proposals to explain product specifications or applications.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",262,"Langdock; BIK; Pivot Robotics; LinkGrep; Stacksi; Letter AI; Abbot; Lifecast; Boundo; rift; Mentum; Abalone Bio; crmCopilot; GrepData; Inventive AI; Hickory; Guardian RF; Lovage; Flockjay; AiSDR; Dialect; Pumpkin; Wattson Health; Origami; Layerup; Motion; Truva; CambioML; SilkChart; Floworks; Hatch; Tiny; inBalance; Iris Automation; Giga ML; Ponyrun; Charge Robotics; Tenderd; Meta; Persana AI; Fabius; Conductor Quantum; Arpeggio Bio; Dime; Apollo.io; Radical; Thrive Agritech; Dot; Meticulate; Lysto; Vector; Vaero; Coldreach; Demodesk; Stamp; Spinach AI; Seals AI; Recurrency; Flyflow; DeepSim, Inc.; AutoComputer; Xobni; Mutiny; Netomi; Speedy Labs; Cargo; Scribe; Ultra; Sennu AI; throxy; Nextera Robotics; Dropbox; Fluently; Metalware; Sweetspot; Birch Biosciences; Praxis AI; Cedalio; DryMerge; Slik; Saleswhale; Bucket Robotics; Thorntale; SalesPatriot; Pernell; Unhaze; Warmly,; Anasen; Topo; Overview; Clara Labs; Dexterity; EzDubs; EARTH AI; Odo; Typewise; PromptLoop; Sendbird; Unbabel; 20n; Fathom; Plivo; Flike; Hindsight; Venta AI; Namecard.ai; Spiral Genetics; RADAR; et al.; Jasmine Energy; StackLead; TigerEye; Exa Laboratories; Scale AI; Willow; UserGems; FuseAI; Cobbery; Solidroad; Bluebirds; Lavo Life Sciences; Sentiyen; Type; Optilly/Installmonetizer; Mosaix.ai; Taskade; Tensil; Marblism; Aqua Voice; Candid; Tailor-ED; Deepnight; Govly; MailTime; Relativity Space; Popsy; IoTFlows Inc; Vizy; Piramidal; Maya Labs; Elyos; Ergo; Wolfia; Outlit; Niles; Bicycle AI; Medium Biosciences; Kular; Corvus Robotics; Lumina; People.ai; Axiom.ai; Symphony; Percept.AI; Wingman; Fiber AI; Nara; Martin; Agentin AI; Zuni; Enable Us; Reduced Energy Microsystems; VectorShift; Vendah; Tetra; Cue; Sendblue; Breadcrumbs.io; ShortLoop; JuziBot; Distro; Macromoltek; Ciro; Autotab; Proxis; Paragon AI; Query Vary; Windsor; Raycaster; Omni; Carbic; HyLight; LeadGenius; Marr Labs; Opencall.ai; Gluetrail; Palifer; Rain Neuromorphics; Champ; CoffeeAI; Swades AI; Cedar; Leaping AI; Findly; Inlet; VOIQ; Strong Compute; Verbiflow; SynthioLabs; SalesSift; Powerdocs; OpenFunnel; Mica AI; Penguin AI; Tuesday; Innate; Airmada; Rivia.AI; Nabla Bio; Watto AI; CozmoX AI; Candor; Sapling.ai; FirstQuadrant; Array Labs; Den; Voiceops; Axross Pte Ltd; Onward; Anthrogen; RMFG; Brainbase; TRACTIAN; Paperplane; Pando Bioscience; Roger; Silogy; Raven; Podium; AlphaWatch AI; Sculpt; Casixty; Hyperbound; Criya; Bindwell; HockeyStack; Datrics; Traversal Networks; Basepilot; Echo; Moots AI; Industrial Next; Trellus; Lopus AI; Ligo Biosciences; Yarn; Artisan; Patika; Almond; Cerrion; Dioptra; Letterdrop; Cuckoo Labs; OpenSight; Presto; OpenMeter; Venu AI; Rollstack; Fini; Alai; PowerX; Octolane AI"
"Prepare sample layouts for approval, using computer software.",Desktop Publishers,36,emojis.com; Playground; Chute; Onlook; Jasper.ai; Booth AI; Poly; Presti AI; Moonvalley; supercontrast; Makeasite; Chordio; Dropbox; Moonglow; Pumpkin; Repacket; Thorntale; Photoroom; T3 Chat (prev. Ping.gg); CambioML; RiskCube; Hypotenuse AI; Typedream; ClipDrop; Zapi; Rubbrband; Focus Buddy; awen; Affogato AI; Vimmerse; Aesthetic; Guardian AI; Decohere; Iliad; Strada; TamLabs
"Prepare scale drawings or architectural designs, using computer-aided design or other tools.","Architects, Except Landscape and Naval",49,Playground; Moonvalley; Rastro; supercontrast; InspectMind AI; Powerdocs; DigitalCarbon; HUD; Draftaid; UpCodes; Dream3D; Dropbox; Govly; Vizy; Bild AI; Bilanc; Thorntale; Rescale; Plume; BotBuilt; Glimmer; camfer; Adam; Offstream; ideate.xyz; Tenderd; Dart; TANGObuilder; Meta; Tetra; SchemeFlow; Warpdrive by Synthetic Minds; Material Depot; Rubbrband; awen; KorrAI; Cogram; Merlin AI; Compose.ai; Handoff; Provision; Aesthetic; WeReno; Iliad; Decohere; Stamp; Matterport; Pirros; ArchiLabs
"Prepare schedules, reports, and estimates of the costs involved in developing and operating mines.","Mining and Geological Engineers, Including Mining Safety Engineers",39,Mineflow; PandasAI; StratumAI; Parsewise; Brewit; Teleo; HUD; Tailor-ED; Watto AI; Precip; Vizy; Vespper; Layerup; Tasker AI; Elessar; The Forecasting Company; CambioML; Motion; Paradigm; Iambiq Technologies; EARTH AI; Clara Labs; Offstream; Flux Auto; Tenderd; Peppr AI; et al.; Dime; Patchwork; KorrAI; Vizly; Carousel Technologies; Redbird; Carbic; Pathmind; Neptyne; FirstIgnite; Magic Loops; Gecko Robotics
